buyer,Caesar,Camilla,Charlie,Gary,Gina,Olga,Olivia,Pablo,Paris,Penelope,Peter
Caesar,3459.0,2081.0,0.0,36.0,74.0,0.0,3.0,1047.0,4765.0,914.0,219.0
Camilla,7166.0,228.0,0.0,70.0,114.0,0.0,0.0,2695.0,1140.0,1640.0,0.0
Charlie,527.0,74.0,0.0,569.0,510.0,0.0,6.0,1614.0,5649.0,1174.0,0.0
Gary,49.0,104.0,575.0,0.0,7.0,1.0,0.0,16.0,23.0,2.0,0.0
Gina,40.0,97.0,148.0,6.0,0.0,0.0,0.0,26.0,71.0,18.0,0.0
Olivia,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pablo,572.0,529.0,695.0,15.0,26.0,0.0,0.0,20.0,239.0,45.0,0.0
Paris,4140.0,1217.0,4506.0,61.0,68.0,0.0,1.0,235.0,205.0,79.0,0.0
Penelope,783.0,1555.0,1253.0,0.0,13.0,0.0,0.0,19.0,43.0,0.0,0.0
Peter,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
